"filename", "language", "Java", "Markdown", "XML", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/OIC.java", "Java", 14, 0, 0, 0, 4, 18
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Police.java", "Java", 25, 0, 0, 0, 5, 30
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Verdict.java", "Java", 21, 0, 0, 0, 4, 25
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/AudioPlugins/AudioPlugins.java", "Java", 4, 0, 0, 0, 2, 6
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/AudioPlugins/factory/AudioPluginFactory.java", "Java", 8, 0, 0, 0, 5, 13
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/ImagePlugins/ImagePlugins.java", "Java", 9, 0, 0, 0, 3, 12
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/ImagePlugins/factory/ImagePluginFactory.java", "Java", 20, 0, 0, 0, 10, 30
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/ImagePlugins/plugin/ImageCropCirclePlugin.java", "Java", 33, 0, 0, 0, 6, 39
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/ImagePlugins/plugin/ImageResizerPlugin.java", "Java", 24, 0, 0, 0, 14, 38
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/MediaFormat.java", "Java", 6, 0, 0, 0, 1, 7
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/PluginFactory/PluginFactory.java", "Java", 19, 0, 0, 0, 5, 24
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/plugins/Plugins.java", "Java", 5, 0, 0, 0, 4, 9
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/alerts/alert.java", "Java", 5, 0, 0, 0, 3, 8
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/dateTime/DateTimeUtil.java", "Java", 38, 0, 0, 0, 9, 47
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/generator/FileNameGenerator.java", "Java", 15, 0, 0, 0, 6, 21
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/generator/PasswordGenerator.java", "Java", 15, 0, 0, 0, 6, 21
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/media/mediaUtil.java", "Java", 25, 0, 0, 0, 4, 29
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/orm/Orm.java", "Java", 134, 0, 0, 0, 12, 146
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/utils/ui/event/Document.java", "Java", 29, 0, 0, 0, 8, 37
